Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
GJ Whittall (ZIM),1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12
Mudassar Nazar (PAK),1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6
EJG Morgan (ENG/IRE),2006-2012,86,81,17,2605,115,40.7,3063,85.04,4,17,5
JP Duminy (SA),2004-2012,94,85,20,2601,129,40.01,3111,83.6,2,15,6
Zaheer Abbas (PAK),1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2
AC Hudson (SA),1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6
BJ Haddin (AUS),2001-2011,93,87,7,2511,110,31.38,3069,81.81,2,15,2
VG Kambli (INDIA),1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4
JDP Oram (NZ),2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8
RA Smith (ENG),1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4
TM Odoyo (Afr/KENYA),1996-2011,134,117,16,2418,111*,23.94,3431,70.47,1,8,12
L Vincent (NZ),2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8
GP Thorpe (ENG),1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3
VVS Laxman (INDIA),1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3
RR Singh (INDIA),1989-2001,136,113,23,2336,100,25.95,3144,74.3,1,9,5
N Hussain (ENG),1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6
GS Chappell (AUS),1971-1983,74,72,14,2331,138*,40.18,3079,75.7,3,14,7
SL Campbell (WI),1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9
V Sibanda (Afr/ZIM),2003-2011,98,97,2,2274,116,23.93,3636,62.54,1,17,12
GM Wood (AUS),1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4
IJL Trott (ENG),2009-2012,54,51,6,2208,137,49.06,2948,74.89,3,18,3
MJ Greatbatch (NZ),1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7
S Matsikenyeri (ZIM),2002-2012,112,109,9,2205,90,22.05,3049,72.31,0,13,8
JC Adams (WI),1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7
Shahriar Nafees (BDESH),2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11
Habibul Bashar (BDESH),1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18
DJ Bravo (WI),2004-2012,129,107,17,2165,112*,24.05,2688,80.54,1,7,8
MJ Guptill (NZ),2009-2012,65,63,6,2151,122*,37.73,2668,80.62,2,17,4
AN Cook (ENG),2006-2012,56,56,3,2121,137,40.01,2675,79.28,5,13,6
IT Botham (ENG),1976-1992,116,106,15,2113,79,23.21,2671,79.1,0,9,6
DL Vettori (ICC/NZ),1997-2011,272,172,51,2105,83,17.39,2569,81.93,0,4,22
MW Gatting (ENG),1977-1993,92,88,17,2095,115*,29.5,2968,70.58,1,9,4
NH Fairbrother (ENG),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2
RL Powell (WI),1999-2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8
Mushfiqur Rahim (BDESH),2006-2012,108,99,18,2047,101,25.27,3074,66.59,1,10,9
CL White (AUS),2005-2011,87,73,15,2037,105,35.12,2531,80.48,2,11,3
Yasir Hameed (PAK),2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2
WPUJC Vaas (Asia/SL),1994-2008,322,220,72,2025,50*,13.68,2796,72.42,0,1,25
KO Otieno (KENYA),1996-2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12
SV Manjrekar (INDIA),1988-1996,74,70,10,1994,105,33.23,3101,64.3,1,15,3
MP Vaughan (ENG),2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9
CH Lloyd (WI),1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1
Umar Akmal (PAK),2009-2012,70,61,9,1976,102*,38,2331,84.77,1,16,5
RG Sharma (INDIA),2007-2012,85,80,16,1974,114,30.84,2524,78.2,2,12,8
KJ Hughes (AUS),1977-1985,97,88,6,1968,98,24,2919,67.42,0,17,12
A Bagai (CAN),2003-2011,60,59,8,1961,137*,38.45,2979,65.82,2,16,2
Aftab Ahmed (BDESH),2004-2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8
PJL Dujon (WI),1981-1991,169,120,36,1945,82*,23.15,2881,67.51,0,6,8
M Amarnath (INDIA),1975-1989,85,75,12,1924,102*,30.53,3334,57.7,2,13,2
KLT Arthurton (WI),1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12
RS Bopara (ENG),2007-2012,83,77,15,1899,96,30.62,2509,75.68,0,10,4
Imran Nazir (PAK),1999-2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10
Mohsin Khan (PAK),1977-1986,75,75,5,1877,117*,26.81,3373,55.64,2,8,3
JV Coney (NZ),1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1
RD Jacobs (WI),1996-2004,147,112,32,1865,80*,23.31,2662,70.06,0,9,11
CO Obuya (KENYA),2001-2012,96,81,9,1860,98*,25.83,2724,68.28,0,10,5
M Prabhakar (INDIA),1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8
OA Shah (ENG),2001-2009,71,66,6,1834,107*,30.56,2331,78.67,1,12,6
MW Goodwin (ZIM),1998-2000,71,70,3,1818,112*,27.13,2654,68.5,2,8,1
Khaled Mashud (BDESH),1995-2006,126,110,27,1818,71*,21.9,3315,54.84,0,7,8
BA Edgar (NZ),1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3
MA Atherton (ENG),1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4
IA Healy (AUS),1988-1997,168,120,36,1764,56,21,2104,83.84,0,4,9
WTS Porterfield (IRE),2006-2012,60,60,3,1752,112*,30.73,2608,67.17,5,8,4
Sir RJ Hadlee (NZ),1973-1990,115,98,17,1751,79,21.61,2319,75.5,0,4,4
KJ O'Brien (IRE),2006-2012,68,62,9,1749,142,33,2168,80.67,2,7,3
CB Wishart (ZIM),1996-2005,90,82,8,1719,172*,23.22,2436,70.56,2,5,8
Rashid Latif (PAK),1992-2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8
DA Gunawardene (SL),1998-2006,61,61,1,1708,132,28.46,2389,71.49,1,12,5
AD Mathews (SL),2008-2012,84,69,21,1705,80*,35.52,2032,83.9,0,12,7
ND McKenzie (SA),2000-2009,64,55,10,1688,131*,37.51,2432,69.4,2,10,2
NC Johnson (ZIM),1998-2000,48,48,2,1679,132*,36.5,2389,70.28,4,11,2
DJ Hussey (AUS),2008-2012,64,56,5,1668,111,32.7,1851,90.11,1,13,4
BA Young (NZ),1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5
UDU Chandana (SL),1994-2007,147,111,17,1627,89,17.3,2229,72.99,0,5,8
GM Turner (NZ),1973-1983,41,40,6,1598,171*,47,2348,68.05,3,9,1
LPC Silva (SL),1999-2011,75,62,7,1587,107*,28.85,2254,70.4,1,13,6
SC Williams (WI),1994-1999,57,55,6,1586,105*,32.36,2402,66.02,1,12,6
Saleem Elahi (PAK),1995-2004,48,47,4,1579,135,36.72,2214,71.31,4,9,3
RL Dias (SL),1979-1987,58,55,5,1573,121,31.46,2315,67.94,2,11,3
Imran Farhat (PAK),2001-2012,51,51,2,1549,107,31.61,2172,71.31,1,12,3
IK Pathan (INDIA),2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7
RN ten Doeschate (NL),2006-2011,33,32,9,1541,119,67,1757,87.7,5,9,1
DL Houghton (ZIM),1983-1997,63,60,2,1530,142,26.37,2155,70.99,1,12,5
LRD Mendis (SL),1975-1989,79,74,9,1527,80,23.49,2034,75.07,0,7,4
Azhar Mahmood (PAK),1996-2007,143,110,26,1521,67,18.1,1988,76.5,0,3,9
CK Kapugedera (SL),2006-2012,92,76,7,1521,95,22.04,2096,72.56,0,8,6
RS Morton (WI),2002-2010,56,51,6,1519,110*,33.75,2289,66.36,2,10,7
JJ Crowe (NZ),1983-1990,75,71,12,1518,88*,25.72,2456,61.8,0,7,6
JM Kemp (Afr/SA),2001-2007,85,66,18,1512,100*,31.5,1819,83.12,1,10,6
RD Shah (KENYA),1998-2007,56,55,1,1506,113,27.88,2298,65.53,1,12,5
HJH Marshall (NZ),2003-2007,66,62,9,1454,101*,27.43,1990,73.06,1,12,3
PR Stirling (IRE),2008-2012,38,38,1,1448,177,39.13,1505,96.21,4,6,1
DD Ebrahim (ZIM),2001-2005,82,76,6,1443,121,20.61,2540,56.81,1,4,8
Mahmudullah (BDESH),2007-2012,80,68,22,1427,68*,31.02,2043,69.84,0,6,2
KA Pollard (WI),2007-2012,63,57,2,1419,119,25.8,1450,97.86,2,5,5
HA Gomes (WI),1978-1987,83,64,15,1415,101,28.87,2578,54.88,1,6,5
N Boje (Afr/SA),1995-2005,115,71,18,1414,129,26.67,1594,88.7,2,4,2
MO Odumbe (KENYA),1996-2003,61,59,5,1409,83,26.09,2014,69.96,0,11,6
GP Howarth (NZ),1975-1985,70,65,5,1384,76,23.06,2301,60.14,0,6,1
BC Broad (ENG),1987-1988,34,34,0,1361,106,40.02,2447,55.61,1,11,2
DO Obuya (KENYA),2001-2012,74,73,3,1355,93,19.35,2135,63.46,0,6,10
PG Fulton (NZ),2004-2009,49,46,5,1334,112,32.53,1833,72.77,1,8,2
JR Hopes (AUS),2005-2010,84,61,8,1326,63*,25.01,1415,93.71,0,3,1
SM Katich (AUS),2001-2006,45,42,5,1324,107*,35.78,1926,68.74,1,9,3
Imrul Kayes (BDESH),2008-2011,48,48,1,1315,101,27.97,2018,65.16,1,9,1
Javed Omar (BDESH),1995-2007,59,59,4,1312,85*,23.85,2528,51.89,0,10,2
Raqibul Hasan (BDESH),2008-2011,55,54,7,1308,89,27.82,2133,61.32,0,8,6
MS Sinclair (NZ),2000-2009,54,50,4,1304,118*,28.34,2086,62.51,2,8,8
PN Kirsten (SA),1991-1994,40,40,6,1293,97,38.02,2308,56.02,0,9,0
MA Ouma (KENYA),2004-2011,72,69,4,1291,61,19.86,2200,58.68,0,6,6
LD Chandimal (SL),2010-2012,46,45,8,1285,111,34.72,1702,75.49,2,8,4
MJ Prior (ENG),2004-2011,68,62,9,1282,87,24.18,1670,76.76,0,3,5
SE Marsh (AUS),2008-2011,36,36,1,1274,112,36.4,1684,75.65,2,8,2
NR Mongia (INDIA),1994-2000,140,96,33,1272,69,20.19,1846,68.9,0,2,4
AB Agarkar (INDIA),1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10
Shoaib Mohammad (PAK),1984-1993,63,58,6,1269,126*,24.4,2492,50.92,1,8,8
Basit Ali (PAK),1993-1996,50,43,6,1265,127*,34.18,1669,75.79,1,9,3
CJ Chibhabha (ZIM),2005-2011,60,60,0,1247,73,20.78,2117,58.9,0,9,5
SP O'Donnell (AUS),1985-1991,87,64,15,1242,74*,25.34,1534,80.96,0,9,5
SG Law (AUS),1994-1999,54,51,5,1237,110,26.89,1643,75.28,1,7,3
Alok Kapali (BDESH),2002-2011,69,66,3,1235,115,19.6,1817,67.96,1,5,5
GM Hamilton (SCOT),1999-2010,38,38,3,1231,119,35.17,1847,66.64,2,7,1
D Mongia (INDIA),2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4
RW Marsh (AUS),1971-1984,92,76,15,1225,66,20.08,1489,82.26,0,4,7
HDPK Dharmasena (SL),1994-2004,141,87,33,1222,69*,22.62,1879,65.03,0,4,2
NJ O'Brien (IRE),2006-2012,51,51,5,1215,72,26.41,1798,67.57,0,8,3
TM Moody (AUS),1987-1999,76,64,12,1211,89,23.28,1747,69.31,0,10,6
Junaid Siddique (BDESH),2007-2011,54,53,1,1196,100,23,1753,68.22,1,6,6
Mashrafe Mortaza (Asia/BDESH),2001-2012,124,94,16,1196,51*,15.33,1377,86.85,0,1,9
P Utseya (ZIM),2004-2012,139,113,42,1192,68*,16.78,2000,59.6,0,3,12
Mohammad Rafique (Asia/BDESH),1995-2007,125,106,17,1191,77,13.38,1663,71.61,0,2,15
Harbhajan Singh (Asia/INDIA),1998-2011,229,123,33,1190,49,13.22,1478,80.51,0,0,15
B Lee (AUS),2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16
JA Rudolph (Afr/SA),2003-2006,45,39,6,1174,81,35.57,1725,68.05,0,7,0
AA Obanda (KENYA),2007-2012,42,38,2,1151,96*,31.97,1582,72.75,0,8,1
SC Williams (ZIM),2005-2011,47,46,7,1146,75,29.38,1574,72.8,0,11,3
LMP Simmons (WI),2006-2012,40,39,3,1130,122,31.38,1638,68.98,1,10,7
JEC Franklin (NZ),2001-2012,97,70,24,1118,98*,24.3,1430,78.18,0,3,4
HS Modi (KENYA),1996-2006,63,56,9,1109,78*,23.59,1906,58.18,0,5,5
D Ramdin (WI),2005-2012,94,71,16,1105,96,20.09,1460,75.68,0,3,2
JD Ryder (NZ),2008-2012,39,33,1,1100,107,34.37,1226,89.72,2,6,4
DR Smith (WI),2004-2012,84,68,5,1098,68,17.42,1159,94.73,0,5,9
VS Solanki (ENG),2000-2006,51,46,5,1097,106,26.75,1504,72.93,2,5,2
B Zuiderent (NL),1996-2011,57,56,10,1097,77*,23.84,1873,58.56,0,8,7
PA Strang (ZIM),1994-2001,95,73,24,1090,47,22.24,1651,66.02,0,0,5
G Boycott (ENG),1971-1981,36,34,4,1082,105,36.06,2020,53.56,1,9,1
Asif Mujtaba (PAK),1986-1996,66,55,14,1068,113*,26.04,1671,63.91,1,6,8
DW Randall (ENG),1976-1985,49,45,5,1067,88,26.67,1702,62.69,0,5,4
JK Kamande (KENYA),1999-2011,86,72,11,1055,74,17.29,1685,62.61,0,3,8
IDS Smith (NZ),1980-1992,98,77,16,1055,62*,17.29,1061,99.43,0,3,7
DA Warner (AUS),2009-2012,35,34,0,1050,163,30.88,1283,81.83,2,5,1
JM How (NZ),2005-2011,41,37,1,1046,139,29.05,1572,66.53,1,7,3
MF Maharoof (SL),2004-2012,104,71,17,1042,69*,19.29,1234,84.44,0,2,3
DSBP Kuruppu (SL),1983-1990,54,52,1,1022,72,20.03,1978,51.66,0,4,3
AG Prince (Afr/SA),2002-2007,52,41,12,1018,89*,35.1,1502,67.77,0,3,4
SK Warne (AUS/ICC),1993-2005,194,107,29,1018,55,13.05,1413,72.04,0,1,10
DS Smith (WI),2003-2011,42,40,2,1014,107,26.68,1424,71.2,1,5,2
C Kieswetter (ENG),2010-2012,43,37,4,1012,107,30.66,1111,91.08,1,5,3
KD Karthik (INDIA),2004-2010,52,44,7,1008,79,27.24,1353,74.5,0,5,4
SM Patil (INDIA),1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4
Rajin Saleh (BDESH),2003-2006,43,43,1,1005,108*,23.92,1833,54.82,1,6,5
NFI McCallum (SCOT),2006-2011,43,42,6,1002,121*,27.83,1451,69.05,2,4,3
Khaled Mahmud (BDESH),1998-2006,77,72,3,991,50,14.36,1461,67.83,0,1,9
BL Cairns (NZ),1974-1985,78,65,6,987,60,16.72,941,104.88,0,2,6
MJ Slater (AUS),1993-1997,42,42,1,987,73,24.07,1634,60.4,0,9,3
MJ Horne (NZ),1997-2002,50,48,0,980,74,20.41,1515,64.68,0,5,3
